Query,Execution Time
query1,0.011994600296020508
query1,0.011013269424438477
query1,0.01405644416809082
query1,0.011375188827514648
query1,0.012039661407470703
query1,0.009793519973754883
query1,0.012844085693359375
query1,0.001962423324584961
query1,0.0020051002502441406
query1,0.0035338401794433594
query1,0.002185821533203125
query1,0.0018839836120605469
query1,0.002038717269897461
query1,0.001004934310913086
query1,0.001996278762817383
query1,0.0010023117065429688
query1,0.0020570755004882812
query1,0.0024204254150390625
query1,0.0026121139526367188
query1,0.0026454925537109375
query1,0.0010445117950439453
query1,0.0019805431365966797
query1,0.0009875297546386719
query1,0.002038240432739258
query1,0.002010822296142578
query1,0.0020072460174560547
query1,0.004201412200927734
query1,0.0010013580322265625
query1,0.0020134449005126953
query1,0.002009868621826172
query1,0.0010046958923339844
query2,0.0019736289978027344
query2,0.0019876956939697266
query2,0.0010197162628173828
query2,0.003632068634033203
query2,0.004002571105957031
query2,0.0010421276092529297
query2,0.0020089149475097656
query2,0.0030024051666259766
query2,0.0019979476928710938
query2,0.001054525375366211
query2,0.003997087478637695
query2,0.0036149024963378906
query2,0.0015397071838378906
query2,0.0009837150573730469
query2,0.0021393299102783203
query2,0.0010159015655517578
query2,0.001996278762817383
query2,0.0010006427764892578
query2,0.0029990673065185547
query2,0.004084348678588867
query2,0.0010623931884765625
query2,0.0019562244415283203
query2,0.0016908645629882812
query2,0.001070261001586914
query2,0.0019953250885009766
query2,0.001003265380859375
query2,0.001972675323486328
query2,0.003970146179199219
query2,0.001999378204345703
query2,0.001999378204345703
query2,0.0010006427764892578
query3,0.001999378204345703
query3,0.001999378204345703
query3,0.0010008811950683594
query3,0.0020208358764648438
query3,0.0030329227447509766
query3,0.002947568893432617
query3,0.001999378204345703
query3,0.0019996166229248047
query3,0.0010008811950683594
query3,0.0019986629486083984
query3,0.0009996891021728516
query3,0.0019998550415039062
query3,0.002002239227294922
query3,0.003192901611328125
query3,0.0019555091857910156
query3,0.002009868621826172
query3,0.0010695457458496094
query3,0.0019199848175048828
query3,0.0011014938354492188
query3,0.0019192695617675781
query3,0.0010132789611816406
query3,0.001972198486328125
query3,0.004027128219604492
query3,0.0019872188568115234
query3,0.0020160675048828125
query3,0.0009982585906982422
query3,0.001993894577026367
query3,0.0010378360748291016
query3,0.0019702911376953125
query3,0.0010046958923339844
query3,0.002992391586303711
query4,0.003996133804321289
query4,0.0030050277709960938
query4,0.003000497817993164
query4,0.003016948699951172
query4,0.002990245819091797
query4,0.005625009536743164
query4,0.003055572509765625
query4,0.0020554065704345703
query4,0.0029430389404296875
query4,0.0033843517303466797
query4,0.005011558532714844
query4,0.0019969940185546875
query4,0.0030019283294677734
query4,0.0029990673065185547
query4,0.0020034313201904297
query4,0.005444049835205078
query4,0.003660440444946289
query4,0.0029969215393066406
query4,0.002003908157348633
query4,0.0034797191619873047
query4,0.0051496028900146484
query4,0.003409862518310547
query4,0.002998828887939453
query4,0.0019292831420898438
query4,0.003009796142578125
query4,0.007002830505371094
query4,0.004443168640136719
query4,0.002957582473754883
query4,0.0025348663330078125
query4,0.00685572624206543
query4,0.0032913684844970703
